﻿分类,功能,功能说明,参数名称,参数中文名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
无线通讯类,WIFI,,/device/network/recovery_usb_outer_wifi_on,NUll,,bool,,,TRUE,,
无线通讯类,WIFI,,/device/network/reset_apn_for_kpn_on,NUll,,bool,,,FALSE,,
无线通讯类,WIFI,,/device/network/speed_monitor_interval,NUll,,int,,,600,,
无线通讯类,WIFI,,/device/network/speed_sample_item_cnt,NUll,,int,,,60,,
无线通讯类,WIFI,,/device/network/speed_sample_total_kbytes,NUll,,int,,,3072,,
无线通讯类,WIFI,,/device/network/wifi_search_ap_list_fast_http_interval,NUll,,int,1,1000,3,,
无线通讯类,WIFI,,/device/network/wifi_search_ap_list_fast_interval,NUll,,int,1,1000,6,,
无线通讯类,WIFI,,/device/network/wifi_search_ap_list_interval,wifi列表更新频率,wifi列表更新频率,int,1,1000,50,,
无线通讯类,WIFI,,/device/network/wifi_switch,WIFI联网功能开关,wifi网络开关,bool,,,TRUE,,
无线通讯类,WFI,,/device/network/ping_host,网络探测目的地址,网络探测目的地址,string,,,"""8.8.8.8""",,
无线通讯类,4G,,/device/network/mobile_switch,4G联网功能开关,mobile网络开关,bool,,,TRUE,,
梯控,梯控-开门/关门,,/strategy/elevator_controller/operate_door_interval,控门时间间隔，计算方法为(n+1)*500毫秒,,int,1,120,3,,
梯控,梯控-开门/关门,,/strategy/elevator_controller/wait_door_opened_seconds,在激进进梯/出梯策略下，不会检查门状态，因此会稍微停顿的时间，单位秒,,int,0,5,1,,
梯控,梯控-开门,,/strategy/elevator_controller/open_door_timeout,打开电梯门超时时间,,int,0,864000,300,,
梯控,梯控-开门,,/strategy/elevator_controller/wait_for_getin_seconds,等待开门信号的等待时间，单位秒,,int,1,60,14,,
梯控,梯控-进梯/出梯,,/strategy/elevator_base/take_elevator_velocity,进出梯的最高速度,频繁卡梯口的情况下可以改大一点，建议不要超过0.6，会增大碰撞风险；,double,0.2,1,0.4,,
梯控,梯控-进梯,,/strategy/elevator_base/get_in_parking_dis,进梯停障距离,,double,,,0.1,,
梯控,梯控-进梯,,/strategy/elevator_base/get_in_parking_in_place_time,进梯重试规划时长,第一次进梯失败退回到梯外后，允许原地停车规划进梯路径的时间，即允许该时间内原地不动不断尝试进梯规划的最大时间；,double,,,3,,
梯控,梯控-进梯,,/strategy/elevator_base/get_in_stuck_time,进梯的连续停车超时时间,即持续停车超该时间后则放弃此次进梯，退到后退点，若为第一次进梯尝试则会在退回梯外后再次尝试进梯；,double,,,2,,
梯控,梯控-进梯,,/strategy/elevator_base/get_in_timeout,进梯超时时间,即这个时间到后会放弃进梯，退回梯外；,double,,,30,,
梯控,梯控-进梯,,/strategy/elevator_base/get_in_waiting_time,这个参数在汉庭3.2版后就无效了，不用管,,double,,,10,,
梯控,梯控-进梯,,/strategy/elevator_base/quit_in_waiting_time,放弃进梯（退回梯外）连续停车超时时间,即在后退时遇到障碍物连续停车该时间后，会放弃退回梯外动作,double,,,5,,
梯控,梯控-进梯,,/strategy/elevator_base/rotation_radius,进梯失败后绕远的距离,具体计算为进梯点为圆心的圆弧上，上述参数为圆弧半径；,double,,,0.5,,
梯控,梯控-进梯,,/strategy/elevator_base/try_get_in_limit_times,单次电梯开门后的进梯尝试次数,,int,,,,,
梯控,梯控-进梯,,/strategy/elevator_controller/limit_times_enter_failed,如果达到多少次进梯失败，就会报一次告警,,int,0,864000,3,,
梯控,梯控-进梯,,/strategy/elevator_controller/retry_enter_elevator_num,进梯重试次数,,int,0,864000,99,,
梯控,梯控-进梯,,/strategy/elevator_controller/waiting_status_time,进梯失败绕远超时时长,,int,0,864000,90,,
梯控,梯控-进梯,,/strategy/elevator_entry_pose_node/entry_pose_distance,NUll,,double,,,2.5,,
梯控,梯控-呼梯,,/strategy/elevator_controller/control_elevator_way,呼梯控制策略,1：机器人随时呼梯，电梯到达优先进梯2：机器人随时呼梯，电梯方向跟机器人方向一致才进梯,int,,,1,,
梯控,梯控-呼梯,,/strategy/elevator_controller/elevator_floor_duration,呼梯过程中，检测到电梯长时间未发生楼层移动，就会报一次告警,,int,0,864000,120,,
梯控,梯控-呼梯,,/strategy/elevator_controller/order_switch_seconds,在4G+Lora模式下，超过该时长没有预约成功，则切换成lora,,int,30,300,60,,
梯控,梯控-呼梯,,/strategy/elevator_controller/order_waiting_timeout,预约超时时长,,int,0,864000,300,,
梯控,梯控-呼梯,,/strategy/elevator_controller/wait_timeout_times_avoidance,超时多少次，前往避让点,默认3，范围1-6,int,1,6,3,,
梯控,梯控-候梯,,/strategy/elevator_base/waiting_zone_dis_to_entry,最佳候梯位置距离进梯点,（地图上显示的elevator waiting pose）的后移距离（默认0.5），在某些现场需要候梯位置远离梯口的，可以增大这个参数；,double,,,0.6,,
梯控,梯控-候梯,,/strategy/elevator_controller/waiting_elevator_timeout,候梯超时时长,,int,0,864000,300,,
梯控,梯控-关门,,/strategy/elevator_controller/close_door_timeout,关闭电梯门超时时间,,int,0,864000,300,,
梯控,梯控-关门,,/strategy/elevator_controller/close_door_timeout_while_retry,已经弃用,,int,,,10,,
梯控,梯控-关门,,/strategy/elevator_controller/send_close_door,发送关门指令,1:表示发送，0:表示不发送,int,,,1,,
梯控,梯控-出梯,,/strategy/elevator_base/cut_off_dis,出梯路径终点距离进梯点的距离,,double,,,1.5,,
梯控,梯控-出梯,,/strategy/elevator_base/cut_off_dis,出梯路径终点距离进梯点的距离,,double,0.5,1.5,1.5,,
梯控,梯控-出梯,,/strategy/elevator_base/get_out_parking_dis,出梯停障距离,,double,,,0.1,,
梯控,梯控-出梯,,/strategy/elevator_base/get_out_timeout,出梯超时时间,即这个时间到后会放弃出梯，退回梯内；,double,,,60,,
梯控,梯控-出梯,,/strategy/elevator_base/get_out_waiting_time,出梯的连续停车超时时间,即持续停车超该时间后则放弃出梯，退回梯内；,double,,,45,,
梯控,梯控-出梯,,/strategy/elevator_controller/retry_out_elevator_num,重试出梯次数,,int,0,864000,3,,
梯控,梯控-乘梯,,/strategy/elevator_controller/take_elevator_timeout,乘梯超时时间,,int,0,864000,1200,,
梯控,梯控,,/strategy/elevator_controller/elevator_strategy,新增策略robust,字符串 策略为positive、balance、negative、robust,string,,,"""robust""",,
梯控,梯控,,/strategy/elevator_controller/take_elevator_retry_times,梯控重试次数，单位次，除了进梯出梯之外，其他的重试次数,,int,0,864000,5,,
梯控,呼梯时间间隔,注：不能将些参数设置太短，如果设置太短会导致连续按键的效果，导致取消了对应楼层的按钮，再次呼梯，电梯门会再将打开；（重复会导致电梯门无法关闭；）,/strategy/elevator_controller/elevator_communication_interval,呼梯时间间隔，计算方法为(n+1)*500毫秒,,int,1,2000,3,,
梯控,,,/strategy/console/elevator_behavior_mode,机器人根据该参数判断按照原有梯控流程还是支持候梯超时处理策略优化 整型,0:默认乘梯流程1:支持候梯超时处理策略优化,int,,,1,,
手动模式,助力功能开关（软件）,,/strategy/chassis/enable_labor_saving,使能助力模式功能（软件）,助力模式开关,bool,,,TRUE,,
手动模式,助力把手功能,https://gaussian.yuque.com/huofeng-private-group-1780/cowork/ddrbvq,/labor_saving/environment,地面环境,,string,,,,,
手动模式,手动模式加减速度,,/device/mcu/backward_dec,手动模式下的后退减速度，1..500,,int,0,500,,,
手动模式,手动模式加减速度,,/device/mcu/forward_dec,手动模式下的前向减速度，1..500,,int,0,500,500,,
手动模式,手动模式,,/device/scrubber/delay_change_auto_time,手动清洗模式下，直接放下把手触发余水处理后，待余水处理完成，需要延迟10s切自动,,double,0,10000,10,,
手动模式,手动模式,,/device/scrubber/enable_super_strong_wash,手动模式 清洗-超强 档位 开关,,bool,,,FALSE,,
手动模式,手动模式,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/mtggrlpp963nelwz?singleDoc# 《AIO 手动模式》,/device/scrubber/handle_up_switch_manual_without_login,拉起把手是否跳过锁屏直接切换手动,,bool,,,FALSE,,
设备寿命,刷盘使用寿命,,/device/scrubber/brush_usage_alert,刷盘使用寿命,刷盘使用寿命,int,0,1000000,300,,
设备寿命,设备寿命,,/device/scrubber/dust_push_usage_alert,尘推布使用寿命,尘推布使用寿命,double,0,3600,20,,
设备寿命,设备寿命,,/device/scrubber/ordinary_dust_push_usage_alert,普通尘推使用寿命,普通尘推使用寿命,double,0,3600,20,,
设备寿命,设备寿命,,/device/scrubber/rolling_brush_usage_alert,滚刷使用寿命,滚刷使用寿命,int,0,1000000,300,,
设备寿命,设备寿命,,/device/scrubber/suction_blade_usage_alert,吸水扒使用寿命,吸水扒使用寿命,int,0,1000000,200,,
设备寿命,设备寿命,,/device/track_motor/mileage_alert,不再使用,,int,0,1000000,,,
设备寿命,滤芯使用寿命,,/device/scrubber/filter_usage_alert,滤芯使用寿命,滤芯使用寿命,int,0,1000000,20,,
设备寿命,滚刷寿命检测,功能描述：https://gaussian.yuque.com/od6ghz/no74yv/ec807m?singleDoc# 《S线-滚刷类型、寿命、在位检测需求》,/device/scrubber/front_rolling_brush_usage_alert,前滚刷使用寿命,,double,0,5000,400,,
设备寿命,滚刷寿命检测,,/device/scrubber/rear_rolling_brush_usage_alert,后滚刷使用寿命,,double,0,5000,400,,
设备其它-急停,急停自恢复,自恢复急停在第一次按下急停时，机器人立即停止。第二次按下急停后，急停解除，切换为手动模式。 https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# 《急停自恢复》,/device/mcu/emergency_type,急停开关类型,0：非自恢复急停硬件1：为自恢复急停硬件,int,0,1,1,,
设备其它-急停,急停自恢复,自恢复急停在第一次按下急停时，机器人立即停止。第二次按下急停后，急停解除，切换为手动模式。https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# 《急停自恢复》,/strategy/console/emergency_auto_resume_enabled,急停自恢复功能开关,,bool,,,TRUE,,
设备其它-急停,急停自恢复,自恢复急停在第一次按下急停时，机器人立即停止。第二次按下急停后，急停解除，切换为手动模式。 https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# 《急停自恢复》,/strategy/console/emergency_auto_resume_global_enabled,AIO1.2急停自恢复全局支持,,bool,,,TRUE,,
设备其它-急停,急停自恢复,自恢复急停在第一次按下急停时，机器人立即停止。第二次按下急停后，急停解除，切换为手动模式。 https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# 《急停自恢复》,/strategy/console/emergency_auto_resume_method,急停自恢复恢复策略,,int,0,864000000,1,,
设备其它-急停,急停自恢复,自恢复急停在第一次按下急停时，机器人立即停止。第二次按下急停后，急停解除，切换为手动模式。https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# 《急停自恢复》,/strategy/console/emergency_auto_resume_wait_duration,急停自恢复倒计时时间,,int,0,864000000,30,,
设备控制-吸水扒升降电机,吸水扒升降电机使能,,/device/scrubber/enable_squeegee_lift_motor,使能喷水电机,true:可开启 false:不可开启,bool,,,TRUE,,
设备控制-吸水扒升降电机,吸水扒升降电机升降时间控制,,/device/scrubber/squeegee_down_time,吸水扒到位时间,吸水扒放到位需要的时间，单位：秒,double,0,3600,6,,
设备控制-吸水扒升降电机,设备控制-后退抬吸水扒,,/device/scrubber/backward_half_uplift_squeegee,后退抬吸水扒功能开关,,bool,,,TRUE,,
设备控制-吸水扒升降电机,设备控制-后退抬吸水扒,,/device/scrubber/backward_liftup_device_speed,触发抬设备的后退速度,触发抬设备的后退速度,double,0,10000,0.1,,
设备控制-吸风电机,,,/device/scrubber/enable_squeegee_motor,使能吸风电机,吸风开关,bool,,,TRUE,,
设备控制-吸风电机,,,/device/scrubber/fan_level,吸风等级,0,int,0,100,1,,
设备控制-吸风电机,,,/device/scrubber/fan_level_setting,吸风等级设置,吸风等级设置,string,,,"""40,50,60""",,
设备控制-吸风电机,,,/device/scrubber/squeegee_motor_running_time,吸风完全开启时间,吸风开启到最大需要的时间，单位：秒,double,0,3600,0,,
设备控制-雾化器,,,/device/scrubber/enable_mist_spray,喷雾开关,使能喷雾,bool,,,FALSE,,
设备控制-雾化器,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_distance_level_setting,喷雾距离等级设置,喷雾距离等级设置,string,,,"""30,60,100""",,
设备控制-雾化器,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_max_angle,喷雾工作最大角速度,触发喷雾电机工作的最大角速度,double,0,10000,10,,
设备控制-雾化器,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_min_speed,喷雾工作最小线速度,触发喷雾电机工作的最小线速度,double,0,10000,0,,
设备控制-刷盘升降电机,,,/device/mcu/brush_down_type,刷盘升降电机类型,"0: 非霍尔电机, 1: 霍尔电机",int,0,1,0,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_down_current_threshold,刷盘电机下降电流阀值,,double,0,20,0,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_down_full_time,刷盘电机完全下降需要的时间,,int,0,20000,5000,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_down_half_time,刷盘电机半下降需要的时间,,int,0,10000,2500,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_down_level_setting,推杆电机行程低。单位：mm,,int,0,100,40,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_down_pwm,刷盘下降功率,,int,0,100,0,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_position_level_setting,刷盘高度等级设置,刷盘高度等级设置,string,,,"""25,23,21""",,
设备控制-刷盘升降电机,,,/device/scrubber/brush_pressure_level,刷盘电机压力等级,,int,0,100,1,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_pressure_level_setting,刷盘压力等级设置,刷盘压力等级设置,string,,,"""50,100""",,
设备控制-刷盘升降电机,,,/device/scrubber/brush_up_current_threshold,刷盘电机上升电流阀值,,double,0,20,0,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_up_half_time,晶面机：位置低-位置中时间,,int,0,10000,3000,,
设备控制-刷盘升降电机,,,/device/scrubber/brush_up_pwm,刷盘上升功率,,int,0,100,0,,
设备控制-刷盘升降电机,,,/device/scrubber/enable_brush_lift_motor,使能刷盘抬升电机,true:可开启 false:不可开启,bool,,,TRUE,,
设备控制-刷盘升降电机,,,/device/scrubber/rolling_brush_position_level_setting,滚刷高度等级设置,滚刷高度等级设置（行程值）,string,,,"""25,24,23""",,
设备控制-刷盘电机,,,/device/scrubber/brush_spin_level,刷盘电机下降等级,,int,0,100,1,,
设备控制-刷盘电机,,,/device/scrubber/brush_spin_level_setting,刷盘转速等级设置,刷盘转速等级设置,string,,,"""40,70,100""",,
设备控制-刷盘电机,,,/device/scrubber/enable_brush_motor,使能刷盘电机,true:可开启false:不可开启,bool,,,TRUE,,
设备控制-刷盘电机,,,/device/scrubber/enable_left_brush,使能左刷盘电机,,bool,,,,,
设备控制-刷盘电机,,,/device/scrubber/enable_right_brush,使能右刷盘电机,,bool,,,,,
设备控制-清洁剂泵,设备控制-药剂（油污清洁）,,/strategy/console/clean_effect_test_area_max,NUll,,int,,,10,,
设备控制-清洁剂泵,设备控制-药剂（油污清洁）,,/strategy/console/clean_effect_test_area_min,NUll,,int,,,2,,
设备控制-清洁剂泵,清洁剂等级,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level,清洁剂等级,,int,30,90,90,,
设备控制-清洁剂泵,,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level_setting,清洁剂等级设置,,string,,,"""30,60,90""",,
设备控制-清洁剂泵,,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/enable_detergent_motor,使能蠕动泵开关,true:可开启false:不可开启,bool,,,TRUE,,
设备控制-其它设备,蜂鸣器,,/device/scrubber/keep_beeping,蜂鸣器长响开关,ture: 持续鸣笛false:仅在鸣笛区鸣笛,bool,,,FALSE,,
设备控制-喷水电机,使能喷水电机,,/device/scrubber/enable_spray_motor,使能喷水电机,true:可开启false:不可开启,bool,,,TRUE,,
设备控制-喷水电机,使能喷水电动阀,,/device/scrubber/enable_valve,使能吸水扒升降电机,true:可开启 false:不可开启,bool,,,TRUE,,
设备控制-喷水电机,任务前浸润,,/device/scrubber/pre_task_spray_duration,任务前浸润时长,任务前浸润时长，单位：秒,double,0,3600,0,,
设备控制-喷水电机,任务前浸润,,/device/scrubber/pre_task_spray_water_level,任务前浸润水量,任务前浸润水量,int,0,100,50,,
设备控制-喷水电机,喷水小水量模式,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》功能描述： 50：通过对百洁垫的浸润和执行任务过程中持续补水，可以时间对地面的充分清洁/消毒。 功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hglx4d#VUX7I,/device/scrubber/water_level_min_accuracy,最小水量精准值,小水量精度优化：最小水量精准值，单位：百分比,int,1,100,10,,
设备控制-喷水电机,喷水小水量模式,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》,/device/scrubber/water_level_opt_interval,精度优化时间,小水量精度优化：精度优化时间单位，单位：秒,double,0,3600,9,,
设备控制-喷水电机,喷水流量检测,,/device/scrubber/flowmeter_threshold,流量检测门限值,,int,,,20,,
设备控制-喷水电机,喷水流量检测,,/device/scrubber/flowmeter_time_threshold,流量检测时间门限值,,int,,,60000,,
设备控制-喷水电机,喷水等级,功能说明：,/device/scrubber/water_level,喷水等级,根据电池电压计算模拟电量。,int,0,120,1,,
设备控制-喷水电机,喷水等级,,/device/scrubber/water_level_setting,喷水等级设置,喷水等级设置,string,,,"""14,18,22""",,
设备控制-喷水电机,浸润功能,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/enable_infiltration,浸润功能开关,,bool,,,TRUE,,
设备控制-喷水电机,浸润功能,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/infiltration_duration,浸润时长,,double,0,100000,60,,
设备控制-喷水电机,浸润功能,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/infiltration_spray_water_level_v1,浸润期间水量 小水量泵,,int,0,100,35,,
设备控制-喷水电机,浸润功能,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/infiltration_spray_water_level_v2,浸润期间水量 其他,,int,0,100,35,,
设备控制-喷水电机,浸润功能,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/water_pump_rest_max_time,水泵空闲的最大时间,,double,0,100000,600,,
设备控制-喷水电机,间歇性喷水2.0,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/enable_intermit_water_spray,使能间歇性喷水开关,,bool,,,FALSE,,
设备控制-喷水电机,间歇性喷水2.0,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/intermit_water_spray_time_setting,间歇性喷水时间配置,,string,,,"""1,1""",,
设备控制-喷水电机,急速喷水,功能说明：在APP下位界面打开一键喷水后，喷水电机以flush_water_percent占空比工作，当污水达到0%时，排水电机再工作/keep_flush_water秒后，停止工作；,/device/scrubber/flush_water_percent,急速喷水占空比,一键冲水：喷水水量,int,50,100,100,,
设备控制-喷水电机,急速喷水,功能说明：在APP下位界面打开一键喷水后，喷水电机以flush_water_percent占空比工作，当污水达到0%时，排水电机再工作/keep_flush_water秒后，停止工作；,/device/scrubber/keep_flush_water,一键冲水：低于最低浮子后倒计时间,一键冲水：低于最低浮子后倒计时间,double,0,3600,300,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/enable_flush_nozzle_regularly,使能定期冲洗喷口,,bool,,,TRUE,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/flush_nozzle_clean_frequency,喷水管自清洁频率,,int,0,7,0,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/flush_nozzle_fan_level,大水量喷水吸风电机工作等级,,int,0,100,70,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/flush_nozzle_single_spray_duration,单次喷水时长,,double,0,60,5,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/flush_nozzle_speed_level_value,喷水口自清洁车速,,double,0.1,1,0.3,,
设备控制-喷水电机,定期大水量喷水清洗出水口,功能说明：https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# 《50/S大水量冲洗管道需求》https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# 《M线-间歇性喷水、浸润、定期冲洗喷口逻辑》,/device/scrubber/flush_nozzle_spray_interval_time,喷水管自清洁单次喷水间隔时间,,double,10,30,15,,
